run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time,number_of_doctors
9,2845,0.04179875924446877,10.062145810498487,0.28367129290648957,0.005898684030283416,10.09039789780623,1.4242551485627313,0,,11,7,5
10,2991,0.031768572533071956,10.176582895713942,0.3013251220889366,0.0047132837523024915,10.19224716099094,1.5113388941969856,0,,11,7,5
11,2821,0.06417948459293882,9.788954955468164,0.27474160208425696,0.008980670934359147,9.853134440061085,1.3826886813556438,0,,11,7,5
12,2858,0.06642039614235709,10.087126116627351,0.2860020480289778,0.009416145445181377,10.153546512769704,1.4394263855900702,0,,11,7,5
13,2874,0.06219770403281545,9.863662180923985,0.28125725537439755,0.008866875068963869,9.927859575277356,1.4151531519409515,0,,11,7,5
14,2925,0.04335905687393395,10.037051790088036,0.2911646206133519,0.0062909345910841675,10.072918718695277,1.4621140376578436,0,,11,7,5
0,2533,0.8278128979749841,9.77819297686879,0.40934664144418736,0.10426341184678485,10.60254836084039,1.332303336179347,3,2.5279169848242113,12,8,3
1,2503,1.1556790544585671,10.078239959307828,0.4173387433982526,0.14348535085862069,11.233919013766386,1.3955015810533786,0,,12,8,3
2,2553,1.103813463511106,10.11768063965305,0.42688167201083627,0.13978352045356418,11.222923667396344,1.420428536486073,0,,12,8,3
3,2484,1.5132494598644177,10.406374049126704,0.4278988410710713,0.1864539513047229,11.92022261171664,1.4701504745179368,0,,12,8,3
4,2570,0.6762633454242053,9.67477053546942,0.4115537327557596,0.08667266123346058,10.344053474168735,1.3213338595007393,2,3.3463199264515424,12,8,3
5,2533,0.8271990754171229,9.972556192999116,0.41760103190829106,0.10393329652934387,10.794590881900513,1.3567363922542168,0,,12,8,3
6,2560,0.924091722903011,9.824118557655524,0.41614887717029064,0.11734498068609664,10.748210280558569,1.3657916121969687,0,,12,8,3
7,2438,0.8564497803380222,9.902158480519667,0.398930254214241,0.10357264704683027,10.7552293058774,1.3003634096895533,0,,12,8,3
8,2549,0.9539960168104221,10.050752929729585,0.4235158489632432,0.1206218178000876,11.00179019124891,1.391169364689817,0,,12,8,3
9,2474,0.6294454615145544,9.885712587001942,0.4045557362952097,0.07730219502763516,10.504694258936494,1.2909694039132644,0,,12,8,3
10,2629,0.802191469469994,10.146034439082257,0.440872213391895,0.10461117922800665,10.950690569944578,1.4272278194036918,0,,12,8,3
11,2500,1.0258867627858068,9.808552366609344,0.4064945072489627,0.12721810054387486,10.828867963579878,1.3467016222907626,0,,12,8,3
12,2466,1.027484261628128,10.212611508171111,0.41573503168770115,0.12568334271701206,11.231672845508372,1.3728884377801156,0,,12,8,3
13,2559,1.0008549172092425,9.82735033248483,0.4161415517589232,0.12704304231837554,10.820984130050467,1.3754676975951452,0,,12,8,3
14,2510,0.663922033646225,10.013158773350714,0.4153945686608728,0.08266092780019965,10.669672685665937,1.3288446337828181,0,,12,8,3
